question_id,question,image,option_1,option_2,option_3,option_4,answer,correct_option_text,explanation,difficulty,topic,question_type,key_terms
Q0001,AIDA 인터내셔널이 설립된 연도는?,,1990년,1992년,1995년,2000년,2,1992년,AIDA(국제 수중무호흡다이빙 개발 협회)는 1992년에 설립되었습니다.,easy,AIDA 소개,사실 확인,"AIDA,설립"
Q0002,프리다이빙을 가장 잘 정의한 것은?,,공기통을 메고 수중을 탐험하는 것,수면에서만 수영하는 것,한 번의 호흡으로 물속을 다이빙하는 것,기계 장비를 이용해 깊이 내려가는 것,3,한 번의 호흡으로 물속을 다이빙하는 것,"프리다이빙(Apnea)은 숨을 참는 상태, 즉 한 번의 호흡으로 하는 다이빙을 의미합니다.",easy,프리다이빙 입문,정의,"프리다이빙,무호흡"
Q0003,프리다이빙의 첫 번째 안전 수칙은 무엇인가?,,비싼 장비를 사용한다,항상 자격 있는 버디와 함께 다이빙한다,수분을 충분히 섭취한다,준비 운동을 철저히 한다,2,항상 자격 있는 버디와 함께 다이빙한다,프리다이빙의 가장 중요한 제1규칙은 절대 혼자 다이빙하지 않고 자격 있는 버디와 함께하는 것입니다.,easy,안전,원칙,"안전 수칙,버디"
Q0004,인체의 호흡계에서 기체 교환이 실제로 일어나는 곳은?,,기관,기관지,폐포,후두,3,폐포,산소와 이산화탄소의 교환은 폐의 가장 깊은 곳인 폐포에서 이루어집니다.,medium,생리학,해부학,"폐포,기체교환"
Q0005,혈액 내에서 산소를 주로 운반하는 성분은?,,백혈구,혈장,혈소판,적혈구(헤모글로빈),4,적혈구(헤모글로빈),산소는 적혈구 내의 헤모글로빈과 결합하여 온몸으로 운반됩니다.,medium,생리학,원리,"산소 운반,적혈구"
Q0006,혈액 내에서 이산화탄소가 주로 운반되는 형태는?,,적혈구에 결합하여,혈장에 녹아서,백혈구에 의해,혈소판에 의해,2,혈장에 녹아서,대부분의 이산화탄소는 혈장에 용해된 상태(중탄산염 형태 등)로 폐로 운반됩니다.,hard,생리학,원리,"이산화탄소,혈장"
Q0007,건강한 사람의 평상시 혈중 산소 포화도(SpO2) 범위는?,,85~90%,90~95%,96~99%,100% 이상,3,96~99%,건강한 사람은 평상시 약 96~99%의 산소 포화도를 유지합니다.,medium,생리학,수치,"산소포화도,SpO2"
Q0008,호흡 충동(숨을 쉬고 싶은 욕구)을 유발하는 가장 주된 요인은?,,산소 농도의 저하,이산화탄소 농도의 증가,질소 농도의 증가,젖산의 축적,2,이산화탄소 농도의 증가,인체는 주로 이산화탄소 수치(CO2)의 증가에 반응하여 호흡 충동을 느낍니다.,medium,생리학,원리,"호흡 충동,이산화탄소"
Q0009,초과호흡(Hyperventilation)'의 정의로 옳은 것은?,,신진대사 요구량보다 더 많이 호흡하는 것,신진대사 요구량보다 적게 호흡하는 것,복식 호흡을 천천히 하는 것,숨을 멈추고 있는 상태,1,신진대사 요구량보다 더 많이 호흡하는 것,초과호흡은 필요 이상으로 과하게 호흡하여 체내 이산화탄소를 비정상적으로 배출하는 것입니다.,medium,호흡,정의,초과호흡
Q0010,초과호흡이 프리다이빙에 위험한 이유는?,,산소를 너무 많이 저장해서,이산화탄소 경보를 꺼버려 예고 없는 블랙아웃을 유발하므로,심박수를 너무 낮추므로,폐활량을 줄어들게 하므로,2,이산화탄소 경보를 꺼버려 예고 없는 블랙아웃을 유발하므로,"이산화탄소 수치를 낮춰 호흡 충동을 지연시키지만, 산소 부족을 감지하지 못하게 하여 위험합니다.",hard,안전,원리,"초과호흡,블랙아웃"
Q0011,프리다이빙 호흡 주기 중 '긴장완화' 단계의 목적은?,,심박수를 높이는 것,폐에 공기를 최대한 채우는 것,불필요한 근육 사용을 줄이고 심박수를 낮추는 것,체온을 높이는 것,3,불필요한 근육 사용을 줄이고 심박수를 낮추는 것,이완을 통해 산소 소모를 최소화하고 정신을 집중하기 위함입니다.,medium,호흡,목적,"긴장완화,이완"
Q0012,최종 호흡(One Full Breath)'을 할 때 올바른 방법은?,,최대한 빠르게 들이마신다,배를 채우고 가슴을 채우는 2단계로 천천히 들이마신다,가슴만 이용하여 얕게 쉰다,입을 크게 벌리고 한 번에 삼킨다,2,배를 채우고 가슴을 채우는 2단계로 천천히 들이마신다,긴장을 유발하지 않도록 천천히 복부부터 흉부까지 채우는 완전 호흡을 합니다.,medium,호흡,절차,"최종 호흡,2단계 호흡"
Q0013,수면에 올라온 직후 반드시 수행해야 하는 호흡법은?,,초과호흡,회복호흡,발살바 호흡,무호흡,2,회복호흡,저산소증 예방과 빠른 산소 공급을 위해 반드시 회복호흡을 실시해야 합니다.,easy,호흡,절차,회복호흡
Q0014,회복호흡의 올바른 방법은?,,숨을 참고 기다린다,천천히 길게 내뱉는다,수동적으로 내뱉고 빠르고 깊게 들이마시기를 반복한다,얕고 빠르게 헐떡인다,3,수동적으로 내뱉고 빠르고 깊게 들이마시기를 반복한다,폐 속 기체를 빠르게 교환하기 위해 힘을 빼고 내뱉은 뒤 적극적으로 들이마셔야 합니다.,medium,호흡,방법,"회복호흡,Hook breathing"
Q0015,보일의 법칙에 따르면 수심이 깊어질수록 기체의 부피는 어떻게 되는가?,,증가한다,감소한다,변하지 않는다,두 배가 된다,2,감소한다,압력이 증가하면 기체의 부피는 반비례하여 감소합니다.,easy,물리학,법칙,"보일의 법칙,압력,부피"
Q0016,수심 10m에서의 절대 압력(주변 압력)은?,,1 bar,2 bar,3 bar,4 bar,2,2 bar,대기압 1 bar + 수압 1 bar = 총 2 bar가 됩니다.,easy,물리학,계산,"압력,수심"
Q0017,다음 중 하강 시 압력평형이 필요한 공간이 아닌 것은?,,중이(Middle ear),부비동(Sinus),마스크 내부,위장(Stomach),4,위장(Stomach),"위장은 공기 공간이 아니며 압력평형 대상이 아닙니다. (귀, 부비동, 마스크, 폐가 대상임)",medium,압력평형,해부학,"공기 공간,압력평형"
Q0018,발살바(Valsalva) 압력평형 기술의 특징은?,,혀 근육만 사용한다,배와 가슴 근육을 이용해 숨을 내쉬는 힘으로 압력을 가한다,후두개를 닫고 한다,가장 적은 에너지를 소모한다,2,배와 가슴 근육을 이용해 숨을 내쉬는 힘으로 압력을 가한다,발살바는 호기 근육을 사용하는 방식으로 깊은 수심에서는 효율이 떨어집니다.,medium,압력평형,기술,발살바
