question_id,question,image,option_1,option_2,option_3,option_4,answer,correct_option_text,explanation,difficulty,topic,question_type,key_terms
Q_0001,AIDA3 과정에 등록하기 위한 선행 조건이 아닌 것은 무엇입니까?,,만 18세 이상 (한국의 경우 만 19세 이상),AIDA2 프리다이버 과정 이수 또는 교차평가 합격,AIDA 의료진술서 작성 완료,스테틱 압니어(STA) 3분 이상 기록,4,스테틱 압니어(STA) 3분 이상 기록,"AIDA3 과정 등록을 위한 최소 STA 기록은 2분 이상입니다. 3분 이상은 AIDA4 과정의 요구사항일 수 있습니다. (출처: AIDA3_Man_v1.03.00KR_2019.pdf, p.6)",medium,AIDA3 과정 입문,multiple_choice,"AIDA3, 선행 조건, 등록, 스테틱 압니어"
Q_0002,혈액의 기능으로 옳지 않은 것은 무엇입니까?,,"기체(산소, 이산화탄소), 영양분, 노폐물, 호르몬 및 체열의 운반",혈소판을 공급하여 염증 예방,산-염기 상호작용으로 혈액 산도(pH) 조절,혈액 응고 방지,4,혈액 응고 방지,"혈액은 혈소판을 통해 부상 시 혈액을 응고시켜 과다 출혈을 막는 역할을 합니다. 염증 예방 기능은 백혈구와 관련이 있습니다. (출처: AIDA3_Man_v1.03.00KR_2019.pdf, p.9)",easy,생리학,multiple_choice,"혈액, 기능, 혈소판, 염증"
Q_0003,기체의 확산(diffusion) 원리에 대한 설명으로 가장 옳은 것은?,,밀도가 낮은 쪽에서 높은 쪽으로 이동하는 성질,밀도가 높은 쪽에서 낮은 쪽으로 이동하는 성질,온도가 높은 쪽에서 낮은 쪽으로 이동하는 성질,압력이 낮은 쪽에서 높은 쪽으로 이동하는 성질,2,밀도가 높은 쪽에서 낮은 쪽으로 이동하는 성질,"확산은 밀도(또는 농도)가 높은 곳에서 낮은 곳으로 기체나 용질이 이동하는 자연적인 물리 현상입니다. (출처: AIDA3_Man_v1.03.00KR_2019.pdf, p.12)",easy,생리학,multiple_choice,"확산, 밀도, 농도, 기체 교환"
Q_0004,초과호흡(hyperventilation)이 프리다이빙에서 위험한 주된 이유는 무엇입니까?,,혈중 산소포화도를 급격히 높여주기 때문,혈중 이산화탄소 농도를 비정상적으로 낮추기 때문,폐활량을 일시적으로 늘려주기 때문,심박수를 안정시켜주기 때문,2,혈중 이산화탄소 농도를 비정상적으로 낮추기 때문,"초과호흡은 혈중 이산화탄소 농도를 낮춰 숨을 참고자 하는 충동을 늦춥니다. 이로 인해 신체가 위험한 수준의 저산소증에 도달하기 전에 경고 신호를 받지 못하여 의식 상실(BO)의 위험이 커집니다. (출처: AIDA3_Man_v1.03.00KR_2019.pdf, p.14)",hard,생리학,multiple_choice,"초과호흡, 저산소증, 의식 상실, 이산화탄소"
Q_0005,프리다이빙 시 압력 평형(이퀄라이징)의 실패로 인해 발생할 수 있는 가장 일반적인 기압성외상(barotrauma)은 무엇입니까?,,고막 천공 또는 파열,폐 압착 (Lung Squeeze),후드 압착 (Hood Squeeze),부비강 압착 (Sinus Squeeze),1,고막 천공 또는 파열,"하강 시 압력 평형에 실패하면 중이와 외부 수압의 압력 차이로 인해 고막이 손상될 수 있습니다. 이는 프리다이빙에서 가장 흔하게 발생하는 기압성외상 중 하나입니다. (출처: AIDA3_Man_v1.03.00KR_2019.pdf, p.27)",medium,기압성외상,multiple_choice,"압력평형, 이퀄라이징, 기압성외상, 고막천공"
Q_0006,포유류 잠수 반응(MDR)의 주요 효과가 아닌 것은 무엇입니까?,,말초혈관수축,서맥 (심박수 감소),비장 효과 (적혈구 방출),대사율 증가,4,대사율 증가,"포유류 잠수 반응(MDR)은 산소 소모를 최소화하기 위해 대사율을 낮추는 방향으로 작용합니다. (출처: AIDA3_Man_v1.03.00KR_2019.pdf, p.81)",medium,포유류 잠수 반응,multiple_choice,"MDR, 포유류 잠수 반응, 대사율, 서맥"
Q_0007,프리다이빙에서 '자유하강(Free Fall)'이 시작되는 지점은 어디입니까?,,수면,중성부력(Neutral Buoyancy) 지점,목표 수심,상승을 시작하는 지점,2,중성부력(Neutral Buoyancy) 지점,"중성부력 지점을 지나면 다이버는 음성부력 상태가 되어 더 이상 핀을 차지 않아도 자연스럽게 하강하게 됩니다. 이 구간을 자유하강이라고 합니다. (출처: AIDA3_Man_v1.03.00KR_2019.pdf, p.50-51)",medium,부력,multiple_choice,"자유하강, Free Fall, 중성부력, 음성부력"
Q_0008,청색증(Cyanosis)에 대한 설명으로 옳은 것은?,,혈액 내 산소가 과도하게 많아 입술이 붉어지는 현상,프리다이버 스스로 쉽게 인지할 수 있는 증상,혈액 내 산소 부족으로 입술 등이 파랗게 보이는 현상,체온이 올라가면서 발생하는 일반적인 현상,3,혈액 내 산소 부족으로 입술 등이 파랗게 보이는 현상,"청색증은 혈중 산소량이 감소하면서 피부가 얇은 입술 등에서 혈액의 색 변화가 쉽게 관찰되는 현상입니다. 다이빙 중인 다이버는 스스로 인지하기 어려워 버디의 관찰이 중요합니다. (출처: AIDA3_Man_v1.03.00KR_2019.pdf, p.11)",easy,생리학,multiple_choice,"청색증, 저산소증, 버디, 관찰"
Q_0009,프렌젤(Frenzel) 압력평형 기술을 확인하는 방법으로 올바른 것은?,,배에 힘을 주며 '프' 소리를 낸다.,코를 막고 '티' 또는 '크' 소리를 내본다.,숨을 크게 들이마신 후 복부를 수축시킨다.,하품을 하듯이 턱을 크게 움직인다.,2,코를 막고 '티' 또는 '크' 소리를 내본다.,"코를 막고 혀의 뒷부분을 이용해 '티'나 '크'와 같은 소리를 낼 때 압력평형이 이루어진다면 프렌젤 기술을 사용하고 있는 것입니다. 이때 복부의 움직임은 없어야 합니다. (출처: AIDA3_Man_v1.03.00KR_2019.pdf, p.23)",medium,압력평형,multiple_choice,"프렌젤, Frenzel, 압력평형, 이퀄라이징"
Q_0010,얕은 수심 의식상실(Shallow Water Blackout)의 주된 원인은 무엇입니까?,,상승 중 급격한 수압 변화로 인한 산소 분압의 급감,하강 중 이산화탄소의 축적,차가운 수온으로 인한 쇼크,과도한 긴장으로 인한 심박수 증가,1,상승 중 급격한 수압 변화로 인한 산소 분압의 급감,"상승 마지막 구간에서는 주변 수압이 급격히 낮아집니다. 이때 폐 속의 산소 분압(ppO2) 역시 급격히 떨어지게 되는데, 이미 낮은 산소 상태에 있던 다이버는 뇌에 필요한 최소한의 산소 분압(약 0.1bar)을 유지하지 못하고 의식을 잃을 수 있습니다. (출처: AIDA3_Man_v1.03.00KR_2019.pdf, p.60-61)",hard,저산소증과 의식상실,multiple_choice,"얕은수심의식상실, SWB, 산소분압, ppO2"
